iter	Passed	Remaining
147	4931	28388
148	4951	28282
149	4956	28086
150	5166	29049
151	5211	29074
152	5246	29043
153	5281	29014
154	5363	29242
155	5417	29310
156	5484	29447
157	5497	29299
158	5502	29104
159	5512	28942
160	5516	28748
161	5553	28727
162	5619	28853
163	5667	28892
164	5731	29006
165	5832	29301
166	5977	29818
167	6051	29969
168	6056	29780
169	6112	29842
170	6126	29702
171	6131	29515
172	6141	29359
173	6189	29383
174	6458	30445
175	6461	30253
176	6471	30089
177	6473	29896
178	6475	29699
179	6479	29518
180	6492	29379
181	6494	29188
182	6495	28999
183	6502	28837
184	6509	28675
185	6562	28720
186	6617	28769
187	6723	29038
188	6762	29017
189	6862	29257
190	6867	29087
191	6871	28915
192	6881	28772
193	6884	28602
194	6893	28456
195	7080	29043
196	7146	29128
197	7258	29399
198	7279	29300
199	7435	29743
200	7476	29721
201	7509	29667
202	7526	29551
203	7529	29379
204	7565	29340
205	7575	29198
206	7587	29067
207	7591	28906
208	7617	28829
209	7673	28867
210	7688	28751
211	7699	28617
212	7711	28491
213	7732	28401
214	7734	28240
215	7740	28096
216	7763	28013
217	7780	27908
218	7803	27827
219	7814	27706
220	7818	27558
221	7830	27440
222	7837	27307
223	7847	27186
224	7859	27072
225	7862	26926
226	7877	26824
227	7889	26713
228	7891	26569
229	7901	26453
230	7909	26329
231	7941	26290
232	7947	26162
233	7961	26060
234	7976	25965
235	7982	25841
236	7997	25748
237	8007	25636
238	8009	25503
239	8027	25421
240	8064	25397
241	8106	25391
242	8119	25294
243	8133	25199
244	8145	25100
245	8152	24987
246	8153	24857
247	8171	24778
248	8183	24681
249	8186	24560
250	8192	24446
251	8204	24352
252	8207	24231
253	8220	24144
254	8254	24116
255	8264	24017
256	8276	23926
257	8287	23833
258	8312	23782
259	8320	23680
260	8327	23579
261	8351	23524
262	8360	23428
263	8372	23341
264	8386	23260
265	8388	23146
266	8390	23034
267	8398	22939
268	8409	22852
269	8414	22749
270	8434	22687
271	8445	22604
272	8451	22507
273	8460	22418
274	8471	22333
275	8477	22237
276	8493	22170
277	8501	22078
278	8514	22004
279	8522	21916
280	8557	21897
281	8585	21859
282	8654	21927
283	8685	21896
284	8689	21801
285	8770	21896
286	8787	21831
287	8821	21807
288	8838	21745
289	8869	21714
290	8887	21654
291	8920	21630
292	8962	21626
293	8990	21589
294	9008	21529
295	9026	21467
296	9085	21505
297	9093	21420
298	9101	21339
299	9126	21295
300	9134	21211
301	9152	21154
302	9201	21167
303	9209	21085
304	9212	20993
305	9215	20900
306	9229	20833
307	9247	20775
308	9259	20707
309	9276	20648
310	9287	20576
311	9294	20496
312	9308	20430
313	9312	20344
314	9324	20276
315	9376	20294
316	9396	20244
317	9434	20232
318	9439	20151
319	9457	20096
320	9492	20078
321	9512	20029
322	9608	20139
323	9618	20068
324	9686	20117
325	9693	20041
326	9724	20014
327	9750	19977
328	9772	19930
329	9786	19870
330	9791	19790
331	9799	19718
332	9815	19659
333	9828	19598
334	9845	19543
335	9867	19500
336	9887	19452
337	9905	19399
338	9918	19340
339	9926	19268
340	9937	19204
341	9950	19144
342	9953	19066
343	9960	18995
344	9964	18917
345	9967	18839
346	9976	18774
347	9983	18705
348	9994	18642
349	10013	18595
350	10024	18536
351	10048	18497
352	10080	18475
353	10089	18411
354	10102	18355
355	10109	18287
356	10125	18237
357	10138	18181
358	10195	18204
359	10205	18143
360	10221	18093
361	10230	18030
362	10237	17965
363	10262	17930
364	10282	17889
365	10286	17818
366	10291	17751
367	10294	17679
368	10298	17610
369	10301	17540
370	10306	17474
371	10310	17406
372	10314	17338
373	10318	17270
374	10368	17280
375	10376	17220
376	10385	17162
377	10394	17104
378	10408	17054
379	10434	17024
380	10443	16966
381	10472	16942
382	10485	16891
383	10509	16858
384	10525	16813
385	10537	16761
386	10554	16718
387	10583	16694
388	10680	16775
389	10706	16746
390	10717	16692
391	10728	16640
392	10840	16744
393	10888	16746
394	10923	16730
395	11024	16814
396	11043	16773
397	11064	16735
398	11222	16904
399	11297	16946
